Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,11,2017-08-23T23:50:00Z,5,CMP 550,6.97,8.19,140.2,0.855,0.396,0.385,2.02,1.59,0.56,0,1.03,11.3,133,16,550,2017-08-23T23:45:00Z,2017
FM,12,2017-08-24T00:50:00Z,5,CMP 551,7.08,8.3,95.7,0.683,0.385,0.364,1.85,1.54,0.53,0,1.01,10.4,87.3,10.7,551,2017-08-24T00:45:00Z,2017
FM,13,2017-08-24T01:50:00Z,5,CMP 552,7.15,8.28,67,0.622,0.384,0.379,1.85,1.57,0.48,0,1.09,10,62.7,7.9,552,2017-08-24T01:45:00Z,2017
FM,14,2017-08-24T02:50:00Z,5,CMP 553,7.23,8.1,127.5,0.634,0.31,0.295,1.7,1.4,0.58,0,0.82,10.7,115,13.8,553,2017-08-24T02:45:00Z,2017
FM,15,2017-08-24T03:50:00Z,5,CMP 554,7.61,8.05,92.3,0.432,0.166,0.153,1.36,1.01,0.58,0,0.43,9.2,70,10.3,554,2017-08-24T03:45:00Z,2017
FM,16,2017-08-24T04:50:00Z,5,CMP 555,8.4,8.12,133.1,0.654,0.238,0.221,1.61,1.12,0.47,0,0.65,7.3,129,15.2,555,2017-08-24T04:45:00Z,2017
FM,17,2017-08-24T05:50:00Z,5,CMP 556,7.54,8.19,40.6,0.481,0.316,0.298,1.88,1.39,0.53,0,0.86,9.5,37.8,5.4,556,2017-08-24T05:45:00Z,2017
FM,18,2017-08-24T06:50:00Z,5,CMP 557,7.35,8.13,43.9,0.456,0.31,0.259,1.74,1.4,0.47,0,0.93,10,37.5,5.7,557,2017-08-24T06:45:00Z,2017
FM,19,2017-08-24T07:50:00Z,5,CMP 558,7.13,8.25,49.3,0.585,0.402,0.362,1.77,1.58,0.54,0.01,1.03,10.4,41.7,6.4,558,2017-08-24T07:45:00Z,2017
FM,20,2017-08-24T08:50:00Z,5,CMP 559,7.09,8.25,55.2,0.604,0.421,0.358,1.86,1.58,0.57,0.01,1.01,11.1,44.4,7.2,559,2017-08-24T08:45:00Z,2017
FM,21,2017-08-24T09:50:00Z,5,CMP 560,7.04,8.16,54.8,0.602,0.372,0.337,1.79,1.52,0.62,0.02,0.87,11.5,52.8,7.5,560,2017-08-24T09:45:00Z,2017
FM,22,2017-08-24T10:50:00Z,5,CMP 561,7.24,8.2,74.7,0.591,0.347,0.325,1.63,1.46,0.66,0.02,0.78,11.9,74.1,9.8,561,2017-08-24T10:45:00Z,2017
FM,23,2017-08-24T11:50:00Z,5,CMP 562,7.25,8.2,122,0.708,0.322,0.302,1.71,1.41,0.71,0.02,0.68,12.6,121.6,14.6,562,2017-08-24T11:45:00Z,2017
FM,24,2017-08-24T12:50:00Z,5,CMP 563,7.27,8.23,114,0.694,0.332,0.31,1.88,1.49,0.72,0,0.77,12.6,97.6,12,563,2017-08-24T12:45:00Z,2017
FM,1,2017-08-28T11:02:00Z,6,CMP 588,7.39,8.19,51.1,0.542,0.316,0.235,1.98,1.83,0.84,0.1,0.89,12.6,43.2,6.8,588,2017-08-28T11:00:00Z,2017
FM,2,2017-08-28T12:02:00Z,6,CMP 589,7.33,8.28,282,1.292,0.353,0.272,2.41,1.81,0.82,0.04,0.94,10.3,244.7,24.8,589,2017-08-28T12:00:00Z,2017
FM,3,2017-08-28T13:02:00Z,6,CMP 590,7.28,8.31,58.8,0.619,0.353,0.287,2.1,1.63,0.71,0.03,0.89,9.7,56.7,7.2,590,2017-08-28T13:00:00Z,2017
FM,4,2017-08-28T14:02:00Z,6,CMP 591,7.25,8.29,55.8,0.505,0.343,0.259,2.05,1.57,0.7,0.03,0.83,10.1,54,7.3,591,2017-08-28T14:00:00Z,2017
FM,5,2017-08-28T15:02:00Z,6,CMP 592,7.44,8.3,53.8,0.567,0.318,0.216,1.98,1.52,0.7,0.02,0.8,8.9,49.2,5.6,592,2017-08-28T15:00:00Z,2017
